id,dex_number,slug,description,enabled,catchable,abundance,name.ja,name.ja_r,name.ja_t,name.en,name.de,name.fr,type.0,type.1,mythical,legendary,ultra_beast,height,weight,evo.to,evo.from,base.hp,base.atk,base.def,base.satk,base.sdef,base.spd,evo.mega,evo.mega_x,evo.mega_y,is_form,form_item
220,220,swinub,"Swinub roots for food by rubbing its snout against the ground.
Its favorite food is a mushroom that grows under the cover of
dead grass. This Pokémon occasionally roots out hot springs.",1,1,1536,ウリムー,Urimū,Urimoo,Swinub,Quiekel,Marcacrin,Ice,Ground,,,,4,65,221,,50,50,40,30,30,50,,,,,
221,221,piloswine,"Piloswine is covered by a thick coat of long hair that enables
it to endure the freezing cold. This Pokémon uses its tusks to
dig up food that has been buried under ice.",1,1,384,イノムー,Inomū,Inomoo,Piloswine,Keifel,Cochignon,Ice,Ground,,,,11,558,473,220,100,100,80,60,60,50,,,,,
222,222,corsola,"In Alola, where their natural enemies Mareanie
are plentiful, many Corsola have stubby
branches on their heads.",1,1,96,サニーゴ,Sanīgo,Sunnygo,Corsola,Corasonn,Corayon,Water,Rock,,,,6,50,,,65,55,95,65,95,35,,,,,
223,223,remoraid,"Also known as the “sniper of the seas,”
its water gun can hit prey without fail from
over 300 feet away.",1,1,384,テッポウオ,Teppouo,Teppouo,Remoraid,Remoraid,Rémoraid,Water,,,,,6,120,224,,35,65,35,65,35,65,,,,,
224,224,octillery,"It usually sleeps in caves. The pitch-black ink
that Octillery spits is also used for cooking.",1,1,96,オクタン,Okutan,Okutank,Octillery,Octillery,Octillery,Water,,,,,9,285,,223,75,105,75,105,75,45,,,,,
225,225,delibird,"It wraps food in its tail to carry it around.
The Delibird with the biggest tail is the boss
of the flock!",1,1,96,デリバード,Deribādo,Delibird,Delibird,Botogel,Cadoizo,Ice,Flying,,,,9,160,,,45,55,45,65,45,75,,,,,
226,226,mantine,"Many people have taken up surfing because
they admire how magnificently Mantine swims.",1,1,96,マンタイン,Mantain,Mantain,Mantine,Mantax,Démanta,Water,Flying,,,,21,2200,,458,85,40,70,80,140,70,,,,,
227,227,skarmory,"Its body is draped in steel armor. It looks heavy,
but it can fly at speeds of up to 185 miles
an hour!",1,1,96,エアームド,Eāmudo,Airmd,Skarmory,Panzaeron,Airmure,Steel,Flying,,,,17,505,,,65,80,140,40,70,70,,,,,
228,228,houndour,"They make repeated eerie howls before dawn
to call attention to their pack.",1,1,384,デルビル,Derubiru,Delvil,Houndour,Hunduster,Malosse,Dark,Fire,,,,6,108,229,,45,60,30,80,50,65,,,,,
229,229,houndoom,"Identifiable by its eerie howls, people a long
time ago thought it was the grim reaper and
feared it.",1,1,96,ヘルガー,Herugā,Hellgar,Houndoom,Hundemon,Démolosse,Dark,Fire,,,,14,350,,228,75,90,50,110,80,95,10048,,,,
230,230,kingdra,"Kingdra sleeps on the seafloor where it is otherwise devoid
of life. When a storm arrives, the Pokémon is said to awaken
and wander about in search of prey.",1,1,96,キングドラ,Kingudora,Kingdra,Kingdra,Seedraking,Hyporoi,Water,Dragon,,,,18,1520,,117,75,95,95,95,95,85,,,,,
231,231,phanpy,"Phanpy uses its long nose to shower itself. When others
gather around, they thoroughly douse each other with water.
These Pokémon can be seen drying their soaking-wet
bodies at the edge of water.",1,1,384,ゴマゾウ,Gomazō,Gomazou,Phanpy,Phanpy,Phanpy,Ground,,,,,5,335,232,,90,60,60,40,40,40,,,,,
232,232,donphan,"If Donphan were to tackle with its hard body, even a house
could be destroyed. Using its massive strength, the Pokémon
helps clear rock and mud slides that block mountain trails.",1,1,96,ドンファン,Donfan,Donfan,Donphan,Donphan,Donphan,Ground,,,,,11,1200,,231,90,120,120,60,60,50,,,,,
233,233,porygon2,"Even though it doesn’t die in the vacuum of
space, it can’t move around very well in
zero gravity.",1,1,384,ポリゴン２,Porigon Tsū,Porygon2,Porygon2,Porygon2,Porygon2,Normal,,,,,6,325,474,137,85,80,90,105,95,60,,,,,
234,234,stantler,"Stantler’s magnificent antlers were traded at high prices as
works of art. As a result, this Pokémon was hunted close to
extinction by those who were after the priceless antlers.",1,1,96,オドシシ,Odoshishi,Odoshishi,Stantler,Damhirplex,Cerfrousse,Normal,,,,,14,712,,,73,95,62,85,65,85,,,,,
235,235,smeargle,"It draws symbols with the fluid that oozes from
the tip of its tail. Depending on the symbol,
Smeargle fanatics will pay big money for them.",1,1,96,ドーブル,Dōburu,Doble,Smeargle,Farbeagle,Queulorior,Normal,,,,,12,580,,,55,20,35,20,45,75,,,,,
236,236,tyrogue,"Tyrogue becomes stressed out if it does not get to train every
day. When raising this Pokémon, the Trainer must establish
and uphold various training methods.",1,1,384,バルキー,Barukī,Balkie,Tyrogue,Rabauz,Debugant,Fighting,,,,,7,210,106 107 237,,35,35,35,35,35,35,,,,,
237,237,hitmontop,"Hitmontop spins on its head at high speed, all the while
delivering kicks. This technique is a remarkable mix of both
offense and defense at the same time. The Pokémon travels
faster spinning than it does walking.",1,1,96,カポエラー,Kapoerā,Kapoerer,Hitmontop,Kapoera,Kapoera,Fighting,,,,,14,480,,236,50,95,95,35,110,70,,,,,
238,238,smoochum,"Highly perceptive sensors, Smoochum’s lips are
kept moist by its daily application of tree sap.",1,1,96,ムチュール,Muchūru,Muchul,Smoochum,Kussilla,Lippouti,Ice,Psychic,,,,4,60,124,,45,30,15,85,65,65,,,,,
239,239,elekid,"When its horns shine a bluish white, that’s the
sign it’s fully charged. You’ll get a shocking
jolt if you touch it!",1,1,96,エレキッド,Erekiddo,Elekid,Elekid,Elekid,Élekid,Electric,,,,,6,235,125,,45,63,37,65,55,95,,,,,
240,240,magby,"Its body temperature is always around 1,100
degrees Fahrenheit. If Magby falls into a small-
enough pond, the whole thing will dry up.",1,1,96,ブビィ,Bubī,Buby,Magby,Magby,Magby,Fire,,,,,7,214,126,,45,75,37,70,55,83,,,,,
241,241,miltank,"Its milk is delicious and chock-full of nutrients.
However, if you drink too much, it could make
your stomach hurt, so be careful.",1,1,96,ミルタンク,Mirutanku,Miltank,Miltank,Miltank,Écrémeuh,Normal,,,,,12,755,,,95,80,105,40,70,100,,,,,
242,242,blissey,"This Pokémon is overflowing with love. Only
Chansey that share a strong bond with their
Trainer can evolve, so people say.",1,1,96,ハピナス,Hapinasu,Happinas,Blissey,Heiteira,Leuphorie,Normal,,,,,15,468,,113,255,10,10,75,135,55,,,,,
243,243,raikou,"Raikou embodies the speed of lightning. The roars of
this Pokémon send shock waves shuddering through the
air and shake the ground as if lightning bolts had come
crashing down.",1,1,6,ライコウ,Raikō,Raikou,Raikou,Raikou,Raikou,Electric,,,1,,19,1780,,,90,85,75,115,100,115,,,,,
244,244,entei,"Entei embodies the passion of magma. This Pokémon is
thought to have been born in the eruption of a volcano.
It sends up massive bursts of fire that utterly consume all
that they touch.",1,1,6,エンテイ,Entei,Entei,Entei,Entei,Entei,Fire,,,1,,21,1980,,,115,115,85,90,75,100,,,,,
245,245,suicune,"Suicune embodies the compassion of a pure spring of water.
It runs across the land with gracefulness. This Pokémon has
the power to purify dirty water.",1,1,6,スイクン,Suikun,Suicune,Suicune,Suicune,Suicune,Water,,,1,,20,1870,,,100,75,115,90,115,85,,,,,
246,246,larvitar,"Raised on nutrients it finds in the dirt, it eats
roughly a mountain’s worth of dirt before
it becomes a pupa.",1,1,1536,ヨーギラス,Yōgirasu,Yogiras,Larvitar,Larvitar,Embrylex,Rock,Ground,,,,6,720,247,,50,64,50,45,50,41,,,,,
247,247,pupitar,"This dangerous pupa thrashes about. Its shell is
as hard as bedrock, containing its gradually
forming new body within.",1,1,384,サナギラス,Sanagirasu,Sanagiras,Pupitar,Pupitar,Ymphect,Rock,Ground,,,,12,1520,248,246,70,84,70,65,70,51,,,,,
248,248,tyranitar,"This Pokémon is a mobile disaster, leaving
mountains crumbled and houses destroyed in
its wake.",1,1,96,バンギラス,Bangirasu,Bangiras,Tyranitar,Despotar,Tyranocif,Rock,Dark,,,,20,2020,,247,100,134,110,95,100,61,10049,,,,
249,249,lugia,"Lugia’s wings pack devastating power—a light fluttering of its
wings can blow apart regular houses. As a result, this
Pokémon chooses to live out of sight deep under the sea.",1,1,6,ルギア,Rugia,Lugia,Lugia,Lugia,Lugia,Psychic,Flying,,1,,52,2160,,,106,90,130,90,154,110,,,,,
250,250,ho-oh,"Ho-Oh’s feathers glow in seven colors depending on the angle
at which they are struck by light. These feathers are said to
bring happiness to the bearers. This Pokémon is said to live at
the foot of a rainbow.",1,1,6,ホウオウ,Hōō,Houou,Ho-Oh,Ho-Oh,Ho-Oh,Fire,Flying,,1,,38,1990,,,106,130,90,110,154,90,,,,,
251,251,celebi,"This Pokémon came from the future by crossing over time.
It is thought that so long as Celebi appears, a bright and
shining future awaits us.",1,1,12,セレビィ,Serebī,Celebi,Celebi,Celebi,Celebi,Psychic,Grass,1,,,6,50,,,100,100,100,100,100,100,,,,,
252,252,treecko,"Treecko is cool, calm, and collected—it never panics under
any situation. If a bigger foe were to glare at this Pokémon,
it would glare right back without conceding an inch of ground.",1,1,512,キモリ,Kimori,Kimori,Treecko,Geckarbor,Arcko,Grass,,,,,5,50,253,,40,45,35,65,55,70,,,,,
253,253,grovyle,"This Pokémon adeptly flies from branch to branch in trees.
In a forest, no Pokémon can ever hope to catch a fleeing
Grovyle however fast they may be.",1,1,384,ジュプトル,Juputoru,Juptile,Grovyle,Reptain,Massko,Grass,,,,,9,216,254,252,50,65,45,85,65,95,,,,,
254,254,sceptile,"Sceptile has seeds growing on its back. They are said to be
bursting with nutrients that revitalize trees. This Pokémon
raises the trees in a forest with loving care.",1,1,96,ジュカイン,Jukain,Jukain,Sceptile,Gewaldro,Jungko,Grass,,,,,17,522,,253,70,85,65,105,85,120,10065,,,,
255,255,torchic,"Torchic has a place inside its body where it keeps its flame.
Give it a hug—it will be glowing with warmth. This Pokémon is
covered all over by a fluffy coat of down.",1,1,512,アチャモ,Achamo,Achamo,Torchic,Flemmli,Poussifeu,Fire,,,,,4,25,256,,45,60,40,70,50,45,,,,,
256,256,combusken,"Combusken battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokémon’s cry is very loud and distracting.",1,1,384,ワカシャモ,Wakashamo,Wakasyamo,Combusken,Jungglut,Galifeu,Fire,Fighting,,,,9,195,257,255,60,85,60,85,60,55,,,,,
257,257,blaziken,"Blaziken has incredibly strong legs—it can easily clear a
30-story building in one leap. This Pokémon’s blazing punches
leave its foes scorched and blackened.",1,1,96,バシャーモ,Bashāmo,Bursyamo,Blaziken,Lohgock,Braségali,Fire,Fighting,,,,19,520,,256,80,120,70,110,70,80,10050,,,,
258,258,mudkip,"In water, Mudkip breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokémon will unleash
its amazing power—it can crush rocks bigger than itself.",1,1,512,ミズゴロウ,Mizugorō,Mizugorou,Mudkip,Hydropi,Gobou,Water,,,,,4,76,259,,50,70,50,50,50,40,,,,,
259,259,marshtomp,"Marshtomp is much faster at traveling through mud than it is at
swimming. This Pokémon’s hindquarters exhibit obvious
development, giving it the ability to walk on just its hind legs.",1,1,384,ヌマクロー,Numakurō,Numacraw,Marshtomp,Moorabbel,Flobio,Water,Ground,,,,7,280,260,258,70,85,70,60,70,50,,,,,
260,260,swampert,"Swampert predicts storms by sensing subtle differences in the
sounds of waves and tidal winds with its fins. If a storm is
approaching, it piles up boulders to protect itself.",1,1,96,ラグラージ,Ragurāji,Laglarge,Swampert,Sumpex,Laggron,Water,Ground,,,,15,819,,259,100,110,90,85,90,60,10064,,,,
261,261,poochyena,"Poochyena is an omnivore—it will eat anything. A distinguishing
feature is how large its fangs are compared to its body. This
Pokémon tries to intimidate its foes by making the hair on its
tail bristle out.",1,1,384,ポチエナ,Pochiena,Pochiena,Poochyena,Fiffyen,Medhyèna,Dark,,,,,5,136,262,,35,55,35,30,30,35,,,,,
262,262,mightyena,"Mightyena travel and act as a pack in the wild. The memory
of its life in the wild compels the Pokémon to obey only
those Trainers that it recognizes to possess superior skill.",1,1,96,グラエナ,Guraena,Graena,Mightyena,Magnayen,Grahyèna,Dark,,,,,10,370,,261,70,90,70,60,60,70,,,,,
263,263,zigzagoon,"The hair on Zigzagoon’s back is bristly. It rubs the hard back
hair against trees to leave its territorial markings. This Pokémon
may play dead to fool foes in battle.",1,1,384,ジグザグマ,Jiguzaguma,Jiguzaguma,Zigzagoon,Zigzachs,Zigzaton,Normal,,,,,4,175,264,,38,30,41,30,41,60,,,,,
264,264,linoone,"When hunting, Linoone will make a beeline straight for the
prey at a full run. While this Pokémon is capable of topping
60 mph, it has to come to a screeching halt before it can turn.",1,1,96,マッスグマ,Massuguma,Massuguma,Linoone,Geradaks,Linéon,Normal,,,,,5,325,,263,78,70,61,50,61,100,,,,,
265,265,wurmple,"Wurmple is targeted by Swellow as prey. This Pokémon
will try to resist by pointing the spikes on its rear at the
attacking predator. It will weaken the foe by leaking poison
from the spikes.",1,1,1536,ケムッソ,Kemusso,Kemusso,Wurmple,Waumpel,Chenipotte,Bug,,,,,3,36,266 268,,45,45,35,20,30,20,,,,,
266,266,silcoon,"Silcoon was thought to endure hunger and not consume
anything before its evolution. However, it is now thought
that this Pokémon slakes its thirst by drinking rainwater
that collects on its silk.",1,1,384,カラサリス,Karasarisu,Karasalis,Silcoon,Schaloko,Armulys,Bug,,,,,6,100,267,265,50,35,55,25,25,15,,,,,
267,267,beautifly,"Beautifly has a long mouth like a coiled needle, which is very
convenient for collecting pollen from flowers. This Pokémon
rides the spring winds as it flits around gathering pollen.",1,1,96,アゲハント,Agehanto,Agehunt,Beautifly,Papinella,Charmillon,Bug,Flying,,,,10,284,,266,60,70,50,100,50,65,,,,,
268,268,cascoon,"If it is attacked, Cascoon remains motionless however badly it
may be hurt. It does so because if it were to move, its body
would be weak upon evolution. This Pokémon will also not
forget the pain it endured.",1,1,384,マユルド,Mayurudo,Mayuld,Cascoon,Panekon,Blindalys,Bug,,,,,7,115,269,265,50,35,55,25,25,15,,,,,
269,269,dustox,"When Dustox flaps its wings, a fine dust is scattered all over.
This dust is actually a powerful poison that will even make a
pro wrestler sick. This Pokémon searches for food using its
antennae like radar.",1,1,96,ドクケイル,Dokukeiru,Dokucale,Dustox,Pudox,Papinox,Bug,Poison,,,,12,316,,268,60,50,70,50,90,65,,,,,
270,270,lotad,"Lotad is said to have dwelled on land before. However, this
Pokémon is thought to have returned to water because the
leaf on its head grew large and heavy. It now lives by floating
atop the water.",1,1,1536,ハスボー,Hasubō,Hassboh,Lotad,Loturzel,Nénupiot,Water,Grass,,,,5,26,271,,40,30,30,40,50,30,,,,,
271,271,lombre,"Lombre’s entire body is covered by a slippery, slimy film.
It feels horribly unpleasant to be touched by this Pokémon’s
hands. Lombre is often mistaken for a human child.",1,1,384,ハスブレロ,Hasuburero,Hasubrero,Lombre,Lombrero,Lombre,Water,Grass,,,,12,325,272,270,60,50,50,60,70,50,,,,,
272,272,ludicolo,"Upon hearing an upbeat and cheerful rhythm, the cells in
Ludicolo’s body become very energetic and active. Even
in battle, this Pokémon will exhibit an amazing amount
of power.",1,1,96,ルンパッパ,Runpappa,Runpappa,Ludicolo,Kappalores,Ludicolo,Water,Grass,,,,15,550,,271,80,70,70,90,100,70,,,,,
273,273,seedot,"Seedot looks exactly like an acorn when it is dangling from a
tree branch. It startles other Pokémon by suddenly moving.
This Pokémon polishes its body once a day using leaves.",1,1,1536,タネボー,Tanebō,Taneboh,Seedot,Samurzel,Grainipiot,Grass,,,,,5,40,274,,40,40,50,30,30,30,,,,,
274,274,nuzleaf,"This Pokémon pulls out the leaf on its head and makes a flute
with it. The sound of Nuzleaf’s flute strikes fear and uncertainty
in the hearts of people lost in a forest.",1,1,384,コノハナ,Konohana,Konohana,Nuzleaf,Blanas,Pifeuil,Grass,Dark,,,,10,280,275,273,70,70,40,60,40,60,,,,,
275,275,shiftry,"Shiftry’s large fans generate awesome gusts of wind at a
speed close to 100 feet per second. The whipped-up wind
blows anything away. This Pokémon chooses to live quietly
deep in forests.",1,1,96,ダーテング,Dātengu,Dirteng,Shiftry,Tengulist,Tengalice,Grass,Dark,,,,13,596,,274,90,100,60,90,60,80,,,,,
276,276,taillow,"Taillow is young—it has only just left its nest. As a result,
it sometimes becomes lonesome and cries at night.
This Pokémon feeds on Wurmple that live in forests.",1,1,384,スバメ,Subame,Subame,Taillow,Schwalbini,Nirondelle,Normal,Flying,,,,3,23,277,,40,55,30,30,30,85,,,,,
277,277,swellow,"Swellow is very conscientious about the upkeep of its glossy
wings. Once two Swellow are gathered, they diligently take
care of cleaning each other’s wings.",1,1,96,オオスバメ,Ōsubame,Ohsubame,Swellow,Schwalboss,Hélédelle,Normal,Flying,,,,7,198,,276,60,85,60,75,50,125,,,,,
278,278,wingull,"It builds nests in cliffs by the sea. It circles the
skies above the ocean looking for its favorite
food—Wishiwashi.",1,1,384,キャモメ,Kyamome,Camome,Wingull,Wingull,Goélise,Water,Flying,,,,6,95,279,,40,30,30,55,30,85,,,,,
279,279,pelipper,"It scoops up Wishiwashi in its huge beak and
swallows them whole. It can devour more than
30 at one go!",1,1,96,ペリッパー,Perippā,Pelipper,Pelipper,Pelipper,Bekipan,Water,Flying,,,,12,280,,278,60,50,100,95,70,65,,,,,
280,280,ralts,"Ralts has the ability to sense the emotions of people. If its
Trainer is in a cheerful mood, this Pokémon grows cheerful
and joyous in the same way.",1,1,1536,ラルトス,Rarutosu,Ralts,Ralts,Trasla,Tarsal,Psychic,Fairy,,,,4,66,281,,28,25,25,45,35,40,,,,,
281,281,kirlia,"Kirlia uses the horns on its head to amplify its psychokinetic
power. When the Pokémon uses its power, the air around it
becomes distorted, creating mirages of nonexistent scenery.",1,1,384,キルリア,Kiruria,Kirlia,Kirlia,Kirlia,Kirlia,Psychic,Fairy,,,,8,202,282 475,280,38,35,35,65,55,50,,,,,
282,282,gardevoir,"Gardevoir has the psychokinetic power to distort the
dimensions and create a small black hole. This Pokémon
will try to protect its Trainer even at the risk of its own life.",1,1,96,サーナイト,Sānaito,Sirnight,Gardevoir,Guardevoir,Gardevoir,Psychic,Fairy,,,,16,484,,281,68,65,65,125,115,80,10051,,,,
283,283,surskit,"It lives in ponds and marshes that feature lots
of plant life. It often fights with Dewpider,
whose habitat and diet are similar.",1,1,384,アメタマ,Ametama,Ametama,Surskit,Gehweiher,Arakdo,Bug,Water,,,,5,17,284,,40,30,32,50,52,65,,,,,
284,284,masquerain,"Its thin, winglike antennae are highly absorbent.
It waits out rainy days in tree hollows.",1,1,96,アメモース,Amemōsu,Amemoth,Masquerain,Maskeregen,Maskadra,Bug,Flying,,,,8,36,,283,70,60,62,100,82,80,,,,,
285,285,shroomish,"If Shroomish senses danger, it shakes its body and scatters
spores from the top of its head. This Pokémon’s spores are
so toxic, they make trees and weeds wilt.",1,1,384,キノココ,Kinokoko,Kinococo,Shroomish,Knilz,Balignon,Grass,,,,,4,45,286,,60,40,60,40,60,35,,,,,
286,286,breloom,"The seeds ringing Breloom’s tail are made of hardened toxic
spores. It is horrible to eat the seeds. Just taking a bite of this
Pokémon’s seed will cause your stomach to rumble.",1,1,96,キノガッサ,Kinogassa,Kinogassa,Breloom,Kapilz,Chapignon,Grass,Fighting,,,,12,392,,285,60,130,80,60,60,70,,,,,
287,287,slakoth,"Slakoth’s heart beats just once a minute. Whatever happens,
it is content to loaf around motionless. It is rare to see this
Pokémon in motion.",1,1,1536,ナマケロ,Namakero,Namakero,Slakoth,Bummelz,Parecool,Normal,,,,,8,240,288,,60,60,60,35,35,30,,,,,
288,288,vigoroth,"Vigoroth is simply incapable of remaining still. Even when it
tries to sleep, the blood in its veins grows agitated, compelling
this Pokémon to run wild throughout the jungle before it can
settle down.",1,1,384,ヤルキモノ,Yarukimono,Yarukimono,Vigoroth,Muntier,Vigoroth,Normal,,,,,14,465,289,287,80,80,80,55,55,90,,,,,
289,289,slaking,"Wherever Slaking live, rings of over a yard in diameter appear
in grassy fields. They are made by the Pokémon as it eats all
the grass within reach while lying prone on the ground.",1,1,96,ケッキング,Kekkingu,Kekking,Slaking,Letarking,Monaflèmit,Normal,,,,,20,1305,,288,150,160,100,95,65,100,,,,,
290,290,nincada,"Nincada lives underground. It uses its sharp claws to carve the
roots of trees and absorb moisture and nutrients.
This Pokémon can’t withstand bright sunlight so avoids it.",1,1,384,ツチニン,Tsuchinin,Tutinin,Nincada,Nincada,Ningale,Bug,Ground,,,,5,55,291 292,,31,45,90,30,30,40,,,,,
291,291,ninjask,"If Ninjask is not trained properly, it will refuse to obey
the Trainer and cry loudly continuously. Because of this
quality, this Pokémon is said to be one that puts the
Trainer’s abilities to the test.",1,1,96,テッカニン,Tekkanin,Tekkanin,Ninjask,Ninjask,Ninjask,Bug,Flying,,,,8,120,,290,61,90,45,50,50,160,,,,,
292,292,shedinja,"Shedinja is a peculiar Pokémon. It seems to appear unsought
in a Poké Ball after a Nincada evolves. This bizarre Pokémon
is entirely immobile—it doesn’t even breathe.",1,1,96,ヌケニン,Nukenin,Nukenin,Shedinja,Ninjatom,Munja,Bug,Ghost,,,,8,12,,290,1,90,45,30,30,40,,,,,
293,293,whismur,"Whismur is very timid. If it starts to cry loudly, it becomes
startled by its own crying and cries even harder. When it finally
stops crying, the Pokémon goes to sleep, all tired out.",1,1,1536,ゴニョニョ,Gonyonyo,Gonyonyo,Whismur,Flurmel,Chuchmur,Normal,,,,,6,163,294,,64,51,23,51,23,28,,,,,
294,294,loudred,"Loudred shouts while stamping its feet. After it finishes
shouting, this Pokémon becomes incapable of hearing
anything for a while. This is considered to be a weak point.",1,1,384,ドゴーム,Dogōmu,Dogohmb,Loudred,Krakeelo,Ramboum,Normal,,,,,10,405,295,293,84,71,43,71,43,48,,,,,
295,295,exploud,"Exploud communicates its feelings to the others by emitting
whistle-like sounds from the tubes on its body. This Pokémon
only raises its voice when it is in battle.",1,1,96,バクオング,Bakuongu,Bakuong,Exploud,Krawumms,Brouhabam,Normal,,,,,15,840,,294,104,91,63,91,73,68,,,,,
296,296,makuhita,"There’s a rumor of a traditional recipe for stew
that Trainers can use to raise strong Makuhita.",1,1,384,マクノシタ,Makunoshita,Makunoshita,Makuhita,Makuhita,Makuhita,Fighting,,,,,10,864,297,,72,60,30,20,30,25,,,,,
297,297,hariyama,"Hariyama that are big and fat aren’t necessarily
strong. There are some small ones that move
nimbly and use moves skillfully.",1,1,96,ハリテヤマ,Hariteyama,Hariteyama,Hariyama,Hariyama,Hariyama,Fighting,,,,,23,2538,,296,144,120,60,40,60,50,,,,,
298,298,azurill,"Azurill’s tail is large and bouncy. It is packed full of the
nutrients this Pokémon needs to grow. Azurill can be seen
bouncing and playing on its big, rubbery tail.",1,1,96,ルリリ,Ruriri,Ruriri,Azurill,Azurill,Azurill,Normal,Fairy,,,,2,20,183,,50,20,40,20,40,20,,,,,
299,299,nosepass,"It hunts without twitching a muscle by pulling in
its prey with powerful magnetism. But
sometimes it pulls natural enemies in close.",1,1,384,ノズパス,Nozupasu,Nosepass,Nosepass,Nasgnet,Tarinor,Rock,,,,,10,970,476,,30,45,135,45,90,30,,,,,
300,300,skitty,"Skitty is known to chase around playfully after its own tail.
In the wild, this Pokémon lives in holes in the trees of forests.
It is very popular as a pet because of its adorable looks.",1,1,384,エネコ,Eneko,Eneco,Skitty,Eneco,Skitty,Normal,,,,,6,110,301,,50,45,45,35,35,50,,,,,
301,301,delcatty,"Delcatty sleeps anywhere it wants without keeping a permanent
nest. If other Pokémon approach it as it sleeps, this Pokémon
will never fight—it will just move away somewhere else.",1,1,96,エネコロロ,Enekororo,Enekororo,Delcatty,Enekoro,Delcatty,Normal,,,,,11,326,,300,70,65,65,55,55,90,,,,,
302,302,sableye,"Materials from gems it has eaten float to the
surface of its body and can form an infinite
number of patterns among individuals.",1,1,96,ヤミラミ,Yamirami,Yamirami,Sableye,Zobiris,Ténéfix,Dark,Ghost,,,,5,110,,,50,75,75,65,65,50,10066,,,,
303,303,mawile,"It has two mouths. The big jaws on the back of
its head can’t taste anything, so that’s the
mouth it uses to eat foods it doesn’t like.",1,1,96,クチート,Kuchīto,Kucheat,Mawile,Flunkifer,Mysdibule,Steel,Fairy,,,,6,115,,,50,85,85,55,55,50,10052,,,,
304,304,aron,"Aron has a body of steel. With one all-out charge, this
Pokémon can demolish even a heavy dump truck.
The destroyed dump truck then becomes a handy meal
for the Pokémon.",1,1,1536,ココドラ,Kokodora,Cokodora,Aron,Stollunior,Galekid,Steel,Rock,,,,4,600,305,,50,70,100,40,40,30,,,,,
305,305,lairon,"Lairon feeds on iron contained in rocks and water. It makes
its nest on mountains where iron ore is buried. As a result,
the Pokémon often clashes with humans mining the iron ore.",1,1,384,コドラ,Kodora,Kodora,Lairon,Stollrak,Galegon,Steel,Rock,,,,9,1200,306,304,60,90,140,50,50,40,,,,,
306,306,aggron,"Aggron is protective of its environment. If its mountain is
ravaged by a landslide or a fire, this Pokémon will haul
topsoil to the area, plant trees, and beautifully restore its
own territory.",1,1,96,ボスゴドラ,Bosugodora,Bossgodora,Aggron,Stolloss,Galeking,Steel,Rock,,,,21,3600,,305,70,110,180,60,60,50,10053,,,,
307,307,meditite,"Meditite heightens its inner energy through meditation.
It survives on just one berry a day. Minimal eating is another
aspect of this Pokémon’s training.",1,1,384,アサナン,Asanan,Asanan,Meditite,Meditie,Méditikka,Fighting,Psychic,,,,6,112,308,,30,40,55,40,55,60,,,,,
308,308,medicham,"Through the power of meditation, Medicham developed its
sixth sense. It gained the ability to use psychokinetic powers.
This Pokémon is known to meditate for a whole month
without eating.",1,1,96,チャーレム,Chāremu,Charem,Medicham,Meditalis,Charmina,Fighting,Psychic,,,,13,315,,307,60,60,75,60,75,80,10054,,,,
309,309,electrike,"Static electricity builds up all over its body
as strands of its long fur rub together. This
Pokémon boasts incredible speed.",1,1,384,ラクライ,Rakurai,Rakurai,Electrike,Frizelbliz,Dynavolt,Electric,,,,,6,152,310,,40,45,40,65,40,65,,,,,
310,310,manectric,"It stimulates its own muscles with electricity, so
it can move quickly. It eases its soreness with
electricity, too, so it can recover quickly as well.",1,1,96,ライボルト,Raiboruto,Livolt,Manectric,Voltenso,Élecsprint,Electric,,,,,15,402,,309,70,75,60,105,60,105,10055,,,,
311,311,plusle,"When Plusle is cheering on its partner, it flashes with electric
sparks from all over its body. If its partner loses, this Pokémon
cries loudly.",1,1,96,プラスル,Purasuru,Prasle,Plusle,Plusle,Posipi,Electric,,,,,4,42,,,60,50,40,85,75,95,,,,,
312,312,minun,"Minun loves to cheer on its partner in battle. It gives off sparks
from its body while it is doing so. If its partner is in trouble,
this Pokémon gives off increasing amounts of sparks.",1,1,96,マイナン,Mainan,Minun,Minun,Minun,Négapi,Electric,,,,,4,42,,,60,40,50,75,85,95,,,,,
313,313,volbeat,"Volbeat’s tail glows like a lightbulb. With other Volbeat,
it uses its tail to draw geometric shapes in the night sky.
This Pokémon loves the sweet aroma given off by Illumise.",1,1,96,バルビート,Barubīto,Barubeat,Volbeat,Volbeat,Muciole,Bug,,,,,7,177,,,65,73,75,47,85,85,,,,,
314,314,illumise,"Illumise leads a flight of illuminated Volbeat to draw signs in
the night sky. This Pokémon is said to earn greater respect
from its peers by composing more complex designs in the sky.",1,1,96,イルミーゼ,Irumīze,Illumise,Illumise,Illumise,Lumivole,Bug,,,,,6,177,,,65,47,75,73,85,85,,,,,
315,315,roselia,"On extremely rare occasions, a Roselia is said to appear with
its flowers in unusual colors. The thorns on this Pokémon’s
head contain a vicious poison.",1,1,384,ロゼリア,Rozeria,Roselia,Roselia,Roselia,Rosélia,Grass,Poison,,,,3,20,407,406,50,60,45,100,80,65,,,,,
